simulation_id,final_portfolio_value,annual_return,annual_volatility,sharpe_ratio,var_95,cvar_95,weight_aapl,weight_amzn,weight_googl,weight_gs,weight_jpm,weight_meta,weight_msft,weight_nvda,weight_spy,weight_tsla
791,1064812.2282869683,0.09380646793957742,0.24876151468782998,0.2966956847492946,-0.02575993416056909,-0.03374980613012692,0.1325756110984129,0.09709512363593896,0.05227116544420874,0.13124735428087264,0.09223827665725082,0.09089260881028992,0.08297737776121777,0.08154029772302997,0.11651611256411801,0.12264607202466031
792,977017.2557802455,0.013051404218904522,0.269502884980153,-0.02578301075184109,-0.02741083003154368,-0.034679294050550924,0.11359601446133573,0.042889276672833154,0.07431107320946341,0.14583255893094638,0.002751126356238957,0.05326199878124445,0.16053247035610033,0.08358562267475694,0.14775822323875376,0.17548163531832686
793,1299928.3528859564,0.2904454832449912,0.23651623385725448,1.1434542096091982,-0.023993848941634106,-0.030172274878602127,0.1001147961103992,0.16339574238547452,0.060830068024904815,0.05918983501768076,0.15549699003240128,0.13298996674756217,0.1276900578855374,0.13509537724569823,0.06387514910753568,0.0013220174428061416
794,1377824.7172610022,0.35347538321854477,0.2562085099398651,1.3015780908167922,-0.024401588454333403,-0.03135456717073086,0.14162738125749832,0.01163528919340072,0.08041125718758721,0.09921326054205157,0.10864799954614955,0.17430011043243834,0.18793518706961201,0.07129849272704823,0.021473068979138726,0.10345795306507533
795,1354615.9977417232,0.3370814593308164,0.2583553683530953,1.2273074151780732,-0.02670027768884112,-0.03298048769859362,6.349766899165003e-05,0.17025295290792936,0.14578131760395344,0.0648383243603491,0.11248764939660261,0.09156384511002347,0.20649938337522572,0.10632172273201818,0.058369021515229144,0.04382228532967738
796,1196254.756533396,0.21825335965548637,0.2795828169743493,0.7091042353782258,-0.026957015336181826,-0.03448409013246773,0.2106983098692457,0.14722847976680067,0.062366966220198605,0.036422866811115805,0.036853469097358295,0.14974898031219736,0.027391758793574576,0.18513088927317609,0.10225157352574055,0.04190670633059238
797,1516255.1311974272,0.4409828632218437,0.2208710064532808,1.9060123371642763,-0.02221151691923558,-0.02816281239954849,0.1497290706476436,0.1487868664706629,0.15570869898529413,0.13369754114875246,0.16021502446951794,0.08046052315567392,0.05520503008382172,0.01920529401496104,0.08320736626656508,0.01378458475710719
798,1242592.5872404822,0.25180711027519387,0.2626855289542468,0.8824510097606817,-0.02440596018662375,-0.03330716320080744,0.084074336247891,0.02755122566971595,0.17634691331196486,0.14593131687442162,0.0050912317265550695,0.02777180120663542,0.17767409138539678,0.176278650270711,0.0699553876318934,0.10932504567481487
799,1497095.8145828256,0.4382795688906504,0.2628171461509679,1.591523136966039,-0.025997564037367353,-0.03177930877121413,0.1536928282491677,0.12212700757973452,0.10909392541695243,0.06805362288743859,0.11932048363046009,0.056676999987260536,0.14349556466849683,0.17650234058393588,0.021114811913221333,0.029922415083332196
800,699449.7904191727,-0.32507262913856494,0.2536096696347937,-1.360644606475301,-0.02563090480439395,-0.03206951377595357,0.016667218561078927,0.149951501174783,0.10620526960757472,0.15863361494584668,0.04254057931948643,0.17675983747382804,0.11062487546921664,0.029211882904175528,0.12110814233167816,0.08829707821233183
801,1221905.3943989682,0.22926781449980824,0.23997293708992176,0.8720475610189002,-0.02479670535306804,-0.030181783741937245,0.19949085946652623,0.03239314107466827,0.19820382947789225,0.11484437691052223,0.0327062861977,0.06039136029125376,0.19246327263600366,0.036034961771028405,0.0501983834243123,0.08327352875009274
802,795025.6737116353,-0.19445204272419048,0.26392214396697383,-0.8125579744874539,-0.02831823632474366,-0.03385946077498053,0.13870550211598806,0.029428304117048186,0.10112509773610855,0.12763168765599361,0.010548880669277325,0.03990110579434169,0.1578620431871318,0.1510575624427497,0.13575018325488006,0.10798963302648093
803,810710.3662182741,-0.17506340772008233,0.2633914833255287,-0.7405835802177442,-0.027209450521878963,-0.03223568412742796,0.18843654508986082,0.03988774477396079,0.04476361888715926,0.033033912313545605,0.21069541685776869,0.006407849968219523,0.004254293370870832,0.20837131041772564,0.08418688608005422,0.1799624222408347
804,1469604.2503711004,0.41724472329854695,0.2531841890271722,1.568994986712673,-0.024190125350059166,-0.02977465445220948,0.009619334412925614,0.15882198620244012,0.11131792981057025,0.09492055613533466,0.14730636210692916,0.14711510248476872,0.0927447477311483,0.03148504264710603,0.06706233644005866,0.13960660202871844
805,1598925.744361765,0.5036687835114333,0.2605916416029627,1.8560410477337979,-0.024365310109695806,-0.033246581308480246,0.10466245506765773,0.1446170284239071,0.0778164995509478,0.04677343752864564,0.09426697578316219,0.0044911479276169486,0.1451791444301575,0.09169164089822235,0.12596684809855885,0.16453482229112393
806,2495741.825689401,0.9603785207924657,0.29752951658912363,3.160622621825756,-0.02873970874507265,-0.03456367857139223,0.03508028323458036,0.08525514665303484,0.06684256298827496,0.027057533192084607,0.1854922719261214,0.08964855291530821,0.1317641434270686,0.13917817869113427,0.02511044769042301,0.21457087928196986
807,972734.7526128817,-0.005778974159775921,0.20913215303723726,-0.12326643122727196,-0.01990864687760039,-0.02575566758699083,0.08679158170378573,0.019503602672478883,0.04852279520686482,0.07873950537661023,0.23738026186870986,0.018970383393405822,0.23094060662725246,0.07835847971799602,0.19617554490507585,0.004617238527820291
808,1380104.2215076482,0.3527887505539796,0.2466473684876739,1.3492491429950553,-0.022726225936018883,-0.030110606746421742,0.16651895603627234,0.07308024426770182,0.018836702600601867,0.05333139894169495,0.034952573174151076,0.17630284166341495,0.06002780430586766,0.1346616906772723,0.17342672512336332,0.10886106320965958
809,1434952.091999561,0.4037112766816131,0.29059596361854345,1.3204287902129959,-0.03220150828290284,-0.03958003825155017,0.028150846581320742,0.018615492651285686,0.023759275390311956,0.17579535407588315,0.1616669101740728,0.18351096314879964,0.10382067941284893,0.13637054091141387,0.009305625885274548,0.15900431176878882
810,1465849.510739585,0.41259761245866555,0.24461685334460723,1.604949156571761,-0.024388403388372438,-0.028284083464128473,0.10550355438402588,0.11723443348753318,0.10851888128762537,0.14789269627075996,0.12387511806321178,0.12632322124414802,0.06304326425115656,0.07399448812896334,0.05403932109652275,0.0795750217860531
811,1425397.9633883082,0.3869094188473271,0.2541223700915368,1.4438296743225065,-0.0236454461454286,-0.03001825932797303,0.11262405659365478,0.17169872014343357,0.021704898323407218,0.0255787051899742,0.07623581903253669,0.12748139773632333,0.1786796189696594,0.08351256825094153,0.09999425609856788,0.10248995966150139
812,1882847.9059973483,0.6621383026402041,0.2393471578617152,2.6828741497369473,-0.021368453840005755,-0.025681994104146937,0.07842814514571843,0.14112560306194702,0.0661110658781532,0.08189446455866271,0.1602297673858208,0.16043659282649733,0.0626711912393873,0.040255495808176736,0.13086902619495375,0.07797864790068264
813,940305.8768378223,-0.027177268003819477,0.262329204326138,-0.17983993861837375,-0.02673731647988807,-0.03340874855162458,0.12331810718822928,0.13709848344476833,0.12366808577129033,0.050642291418850405,0.1024941608935405,0.14089834260808584,0.13717897162691794,0.0683643784913462,0.04106398568833475,0.07527319286863647
814,864563.458990393,-0.1070326401527304,0.2767222540392536,-0.4590618871394079,-0.03236361194006978,-0.040502010499775205,0.00122797466383851,0.06495236436984957,0.06112295547296712,0.10204618235332766,0.18220178303586085,0.15341487824313343,0.10515028746224285,0.13243848104897804,0.10388482050719966,0.0935602728426023
815,1998593.8351051405,0.722902352384646,0.24331413994508802,2.8888676693564928,-0.023039955041549664,-0.027009751977164723,0.07334034923557668,0.08153612090836211,0.1403595477194108,0.09572242240136707,0.06711422004754955,0.07532875208085861,0.1692626645097949,0.007129242583795596,0.09154523677822474,0.19866144373505995
816,1928577.626280703,0.6905930709836958,0.25735005153958174,2.605762334112279,-0.021503834709047372,-0.027188867237189752,0.17996372218371934,0.022808013704858496,0.05010297055255776,0.12395212750841171,0.07669847832901165,0.14381655978102098,0.06702703214032553,0.08628009890422124,0.1191012078970723,0.1302497889988009
817,1481042.0018188176,0.42737498601726326,0.2619655123155303,1.555071056554159,-0.026911024954175317,-0.03274709930845111,0.08096788517601929,0.09211457173366705,0.05212187705889344,0.10485029471293565,0.12954074950599165,0.11165699938214205,0.17175878220499996,0.15823088318258163,0.036893330794523914,0.06186462624824545
